,day,hour,Close,Volume,year,month,date,compound,pos,neg,neu
32,5,18,15.1395,18016600.0,2021,2,2021-02-05 18:30:00+00:00,-12.834000000000001,129.34,115.47,745.2
33,5,19,15.175,12116944.0,2021,2,2021-02-05 19:30:00+00:00,66.377,158.15,79.51,752.34
34,5,20,15.94,14125016.0,2021,2,2021-02-05 20:30:00+00:00,13.580100000000002,144.377,118.95100000000001,706.682
35,8,14,15.26,30525272.0,2021,2,2021-02-08 14:30:00+00:00,108.22800000000001,137.19,64.05,788.77
36,8,15,15.0197,10217324.0,2021,2,2021-02-08 15:30:00+00:00,94.733,148.65,90.99,750.34
37,8,16,14.7784,7086356.0,2021,2,2021-02-08 16:30:00+00:00,121.735,134.44,74.74,790.77
38,8,17,14.914,8110388.0,2021,2,2021-02-08 17:30:00+00:00,84.0312,127.794,78.731,783.475
39,8,18,14.7719,4624100.0,2021,2,2021-02-08 18:30:00+00:00,101.23830000000001,158.332,94.833,735.815
40,8,19,14.6825,4485976.0,2021,2,2021-02-08 19:30:00+00:00,115.376,148.34,76.56,735.15
41,8,20,14.99,4920852.0,2021,2,2021-02-08 20:30:00+00:00,86.827,133.97,71.05,764.98
42,9,14,12.6512,20912012.0,2021,2,2021-02-09 14:30:00+00:00,53.167,131.83,71.67,796.5
43,9,15,12.1337,22546724.0,2021,2,2021-02-09 15:30:00+00:00,103.9161,150.086,88.001,751.944
44,9,16,12.515,12799964.0,2021,2,2021-02-09 16:30:00+00:00,73.893,138.86,82.08,769.05
45,9,17,12.1129,6881616.0,2021,2,2021-02-09 17:30:00+00:00,87.598,164.77,92.09,733.14
46,9,18,12.3238,4036744.0,2021,2,2021-02-09 18:30:00+00:00,56.552,150.84,83.74,755.41
47,9,19,12.4067,6271256.0,2021,2,2021-02-09 19:30:00+00:00,107.935,145.97,72.41,771.6
48,9,20,12.62,4139364.0,2021,2,2021-02-09 20:30:00+00:00,51.695,142.57,111.57,735.87
49,10,14,12.3125,30473196.0,2021,2,2021-02-10 14:30:00+00:00,40.263000000000005,89.34,84.91,815.72
50,10,15,12.665,10518964.0,2021,2,2021-02-10 15:30:00+00:00,24.899,122.48,87.79,779.79
51,10,16,13.665,9799680.0,2021,2,2021-02-10 16:30:00+00:00,80.133,152.48,91.78999999999999,755.74
52,10,17,15.35,28285260.0,2021,2,2021-02-10 17:30:00+00:00,129.4133,133.703,60.061,796.206
53,10,18,13.5543,20066656.0,2021,2,2021-02-10 18:30:00+00:00,62.108,123.47,52.75,813.8
54,10,19,12.7725,9961924.0,2021,2,2021-02-10 19:30:00+00:00,159.365,164.21,49.63,776.19
55,10,20,12.53,5509388.0,2021,2,2021-02-10 20:30:00+00:00,36.2829,93.385,80.543,826.072
56,11,14,12.6925,14446728.0,2021,2,2021-02-11 14:30:00+00:00,46.63,96.33,71.27,832.39
57,11,15,12.275,5423128.0,2021,2,2021-02-11 15:30:00+00:00,44.798,70.58,32.63,896.78
58,11,16,12.1,4566548.0,2021,2,2021-02-11 16:30:00+00:00,3.4532000000000034,105.16,108.176,786.654
59,11,17,12.285,2659136.0,2021,2,2021-02-11 17:30:00+00:00,46.704,117.27,89.63,793.14
60,11,18,12.2275,3135656.0,2021,2,2021-02-11 18:30:00+00:00,59.282000000000004,107.65,64.73,827.66
61,11,19,12.2625,1819996.0,2021,2,2021-02-11 19:30:00+00:00,65.46,126.18,87.65,786.16
62,11,20,12.725,6475956.0,2021,2,2021-02-11 20:30:00+00:00,79.5589,139.213,68.145,771.632
63,12,14,12.4,7165404.0,2021,2,2021-02-12 14:30:00+00:00,29.877,136.38,97.09,766.53
64,12,15,13.05,9360940.0,2021,2,2021-02-12 15:30:00+00:00,72.405,144.53,98.81,746.7
65,12,16,13.3425,8086180.0,2021,2,2021-02-12 16:30:00+00:00,82.785,147.03,93.31,729.72
66,12,17,12.7563,10358748.0,2021,2,2021-02-12 17:30:00+00:00,81.90299999999999,135.49,123.86,720.64
67,12,18,12.6457,3164568.0,2021,2,2021-02-12 18:30:00+00:00,98.76939999999999,146.646,66.975,786.358
68,12,19,12.8275,3043424.0,2021,2,2021-02-12 19:30:00+00:00,20.3319,137.447,136.55,706.063
69,12,20,13.0825,3157180.0,2021,2,2021-02-12 20:30:00+00:00,94.176,151.3,121.11,727.58
70,16,14,12.8075,7213168.0,2021,2,2021-02-16 14:30:00+00:00,61.9866,139.864,100.144,759.992
71,16,15,12.5,4128564.0,2021,2,2021-02-16 15:30:00+00:00,62.363,148.1,87.25,744.64
72,16,16,12.4747,2920432.0,2021,2,2021-02-16 16:30:00+00:00,68.028,149.6,87.47,742.93
73,16,17,12.6575,2180556.0,2021,2,2021-02-16 17:30:00+00:00,39.885999999999996,161.03,102.87,716.09
74,16,18,12.3173,4730696.0,2021,2,2021-02-16 18:30:00+00:00,45.034,146.31,94.95,758.77
75,16,19,12.3837,1673224.0,2021,2,2021-02-16 19:30:00+00:00,120.946,166.63,93.36,740.01
76,16,20,12.375,1607264.0,2021,2,2021-02-16 20:30:00+00:00,115.017,157.3,77.62,765.1
77,17,14,11.9025,8339356.0,2021,2,2021-02-17 14:30:00+00:00,104.88,169.45,97.22,723.32
78,17,15,11.725,3033516.0,2021,2,2021-02-17 15:30:00+00:00,-1.9019999999999997,117.22,121.028,751.762
79,17,16,11.665,2382112.0,2021,2,2021-02-17 16:30:00+00:00,69.376,174.63,105.89,709.48
80,17,17,11.67,1523576.0,2021,2,2021-02-17 17:30:00+00:00,117.889,163.08,70.46,756.44
